参加者,年齢,性別,設問1,設問2,設問3,設問4,設問5
1,22,男性,5,2,4,1,5
2,40,女性,4,2,4,1,4
3,28,男性,4,2,4,4,3
4,34,女性,3,1,4,4,4
5,33,女性,4,2,5,3,4
6,38,男性,4,1,4,5,5
7,38,男性,5,3,4,3,4
8,42,男性,5,2,5,2,3
9,50,女性,5,3,4,4,4
10,20,女性,4,3,5,3,5
11,18,男性,4,1,5,1,5
12,32,男性,5,2,4,2,5
13,46,男性,5,3,4,1,5
14,38,女性,3,1,4,3,5
15,37,女性,3,1,4,2,4
16,18,男性,4,4,5,2,3
17,55,女性,3,1,5,3,3
18,54,女性,5,4,4,3,5
19,40,女性,2,2,4,5,4
20,36,男性,4,2,4,5,4
21,29,男性,3,1,4,3,5
22,37,男性,5,1,4,3,4
23,33,男性,4,1,4,1,4
24,33,女性,5,3,4,1,4
25,29,女性,4,3,4,3,5
26,51,男性,4,1,4,1,5
27,36,男性,3,1,5,4,3
28,39,女性,3,4,4,5,5
29,45,男性,4,4,4,3,3
30,41,女性,5,4,5,2,3
31,39,女性,4,2,4,5,4
32,40,男性,3,2,4,3,4
33,23,男性,3,2,4,3,4
34,56,男性,4,3,4,3,5
35,49,男性,5,5,5,2,3
36,30,女性,4,2,4,4,5
37,30,女性,2,2,4,2,4
38,45,男性,4,1,4,4,5
39,32,女性,5,2,5,2,4
40,28,男性,3,4,5,5,4
41,35,男性,5,3,4,5,5
42,29,女性,4,3,4,2,3
43,33,男性,5,1,5,3,4
44,45,女性,5,3,4,2,4
45,31,女性,3,4,5,3,4
46,22,男性,3,2,4,2,5
47,23,女性,5,1,5,2,4
48,26,男性,5,1,4,2,5
49,30,女性,4,1,4,2,5
50,40,男性,3,3,5,3,3
